,Title,published_date,Views,Likes,Comments,Month
275,ACTING LIKE MY PREGNANT WIFE !!,2021-11-24,253628,25616,253628,Nov
276,BEECH SADAK PAR AYSA KAUN KARTA HAI | dukaan kharab kardi,2021-11-23,259691,28660,259691,Nov
277,WE GOT A LATE NIGHT SURPRISE & Missing mumbai footage .,2021-11-22,279637,31731,279637,Nov
278,Kamaal ki Zindagi hai yaar !!,2021-11-21,263260,29244,263260,Nov
279,Yeh movie zarur dekhna! #Shorts,2021-11-21,161573,17721,161573,Nov
280,INKO SIRF BABY GIRL CHAHIYE !!,2021-11-20,283944,32555,283944,Nov
281,NUKSAAN BADA HOTA | DOST NE BACHA LIYA !!,2021-11-19,449052,42507,449052,Nov
282,"Ice cream Khane k baad, sab khush! 😝🤣",2021-11-18,1369016,79792,1369016,Nov
283,GODH BHARAI KARNI HAI ABB !!,2021-11-18,294397,34965,294397,Nov
284,Acting like my pregnant wife (part1) #Shorts,2021-11-17,765350,40500,765350,Nov
285,Yeh Gaadi Aur Bike Mein Zarur Lagana! #shorts,2021-11-17,221394,28270,221394,Nov
286,YEH COOKER NE THO DARA HI DIYA THA !!,2021-11-16,318743,33091,318743,Nov
287,MERI CHORI PAKDI GAYI | BABY OR BIKE SHOPPING ?,2021-11-15,344798,36358,344798,Nov
288,FINALLY MERA ORDER AGAYA ITNEY TIME BAAD ..,2021-11-14,296340,37679,296340,Nov
289,MALL MAI JATEY HI FIRE ALARM BAJJ GAYA AUR ..,2021-11-13,356519,43057,356519,Nov
290,ISKE BINAA THEY WONT ALLOW US !!,2021-11-12,309884,35922,309884,Nov
291,I ASKED THEM FOR THE CCTV FOOTAGE AND ..,2021-11-11,358599,35305,358599,Nov
292,BABY STARTED KICKING HARD THIS WEEK !!,2021-11-10,346788,35552,346788,Nov
293,BAD DAY | MY ELECTRIC SCOOTER GOT STOLEN ..,2021-11-09,366980,39923,366980,Nov
294,IS CANADA GOOD FOR PREGNANT LADIES ?,2021-11-08,315714,34384,315714,Nov
295,THIS MADE HER VERY EMOTIONAL !!,2021-11-07,377861,41390,377861,Nov
296,SHE TOOK ME TO A ROTATING RESTAURANT ON CN TOWER| DIWALI DAMAKA ..,2021-11-06,392866,41100,392866,Nov
297,MOST MEMORABLE BIRTHDAY OF MY LIFE !!,2021-11-05,448668,46523,448668,Nov
298,OUR NEW HOME !!,2021-11-04,450039,44045,450039,Nov
299,OUR FAMILY AGREED BUT THERE IS A PROBLEM..,2021-11-03,445449,48052,445449,Nov
300,SOCHA THA KYA AUR KYA HOGAYA 😅,2021-11-02,708803,39489,708803,Nov
301,AYSA KAUN KARTA HAI HALLOWEEN KE LIYE ??,2021-11-01,370252,38335,370252,Nov
302,KIS NE SOCHA THA AYSA HOJAYEGA 💔,2021-10-31,426536,42232,426536,Oct
303,ISS BACHE NE THO DARA HI DIYA | FINALLY RODE THE BMW GSA HERE !!,2021-10-30,435420,44931,435420,Oct
304,THATS WHY GIRL CHILD ARE THE BEST ..,2021-10-29,375251,41462,375251,Oct
305,I WENT TO BUY THE NEW MACBOOK PRO AND APPLE BROKE MY HEART 💔,2021-10-28,521764,53020,521764,Oct
306,ASKING MY MOM TO TRUST ME FOR..,2021-10-27,463669,49423,463669,Oct
307,ARE WE GONA LEAVE OR STAY IN CANADA ?,2021-10-26,552014,52416,552014,Oct
308,OUR FIRST KARWA CHAUTH | VERY SPECIAL,2021-10-25,445384,46332,445384,Oct
309,SURPRISING HER WITH SOMETHING ON OUR FIRST ..,2021-10-24,378577,41472,378577,Oct
310,IPHONE 13 PRO CAMERA IS AMAZING | KARVA CHAUTH PREPERATION !!,2021-10-23,486182,51586,486182,Oct
311,PAISA BACHAYA AUR PAISA BANAYA | BABY LUCK !!,2021-10-22,423486,45880,423486,Oct
312,MANN KI BAAT | GENDER PARTY AND CHILD BIRTH,2021-10-21,520743,67539,520743,Oct
313,DC GAVE ME A SURPRISE IN CANADA | Passport update !!,2021-10-20,409015,44862,409015,Oct
314,INDIAN VACCINATION DHEK TE HI MANA KAR DIYA !!,2021-10-19,451812,47386,451812,Oct
315,TENSION BOHAT THA..but ENJOY KIYA,2021-10-18,446374,46217,446374,Oct
316,I Cant find our PASSPORT  !!,2021-10-17,418547,43265,418547,Oct
317,WE MISS DOING THIS TOGETHER !!,2021-10-16,438869,45931,438869,Oct
318,JUNIOR NIKHIL KI SHOPPING COMPLETE !! 👶🏻,2021-10-15,572882,50347,572882,Oct
319,PLANNING TO BUY THIS HOUSE..SHOULD I ?,2021-10-14,582946,55935,582946,Oct
320,INDIAN TOURIST BUYING HOUSE IN CANADA ..,2021-10-13,513786,52285,513786,Oct
321,THANKSGIVING SALE MAI MAZA AGAYA !!,2021-10-12,452718,50929,452718,Oct
322,IPHONE 13 KA GIVEAWAY KARTE HAI !!,2021-10-11,497542,52417,497542,Oct
323,PREGNANCY IS NOT EASY | 3RD TRIMESTER BEGINS,2021-10-10,773338,65270,773338,Oct
324,ISNE THO AAJ DARA HI DIYA THA !!!,2021-10-09,482538,53961,482538,Oct
325,MUMBIKER NIKHIL MEETS MRUNAL THAKUR,2021-10-08,772857,77848,772857,Oct
326,JUGAAD KARKE PAISA BACHA LIYA 😅🤞💵,2021-10-07,583465,59972,583465,Oct
327,WE GOT A DODGE CHARGER GT,2021-10-06,650003,70422,650003,Oct
328,WE TRIED COOKING HERE AND MADE KHICHDI !!,2021-10-05,559903,57049,559903,Oct
329,WE REACHED CANADA-USA BORDER !!,2021-10-04,609029,61831,609029,Oct
330,BOUGHT AN ELECTRIC SCOOTER IN CANADA 🍁,2021-10-03,665206,67700,665206,Oct
331,SUPER-FAST BLUE MOUNTAIN CART EXPERIENCE !!,2021-10-02,788275,79250,788275,Oct
332,FUTURE KI SHOPPING ABHI SE CHALU !!,2021-10-01,661797,73307,661797,Oct
333,WHEN HARDWORK PAYS YOU BACK !! 💰 💵,2021-09-30,725829,74158,725829,Sep
334,WALK IN AND JUST BUY A TESLA !!,2021-09-29,825652,83214,825652,Sep
335,YEH DHEKO KYA MIL GAYA CANADA MAI !!,2021-09-28,973397,98456,973397,Sep
336,EMIRATES BUSINESS CLASS TO CANADA !!!,2021-09-27,1267377,110667,1267377,Sep
337,BYE BYE DUBAI AND HELLO ...,2021-09-26,696550,82736,696550,Sep
338,DUBAI MAI MERCEDES AMG CAR EKDUM BAWAAL...,2021-09-25,795708,82167,795708,Sep
339,BURJ KHALIFA PE GENDER REVEAL ? KA KITNA PAISA ?,2021-09-24,1043007,96116,1043007,Sep
340,AND FINALLY WE KNOW BOY OR GIRL.,2021-09-23,1183159,101045,1183159,Sep
341,YEH SAB PUBLIC DEMAND PE KIYA HAI !!,2021-09-22,1130820,121987,1130820,Sep
342,WE FOUND A BEAUTIFUL LOCATION IN DUBAI !!,2021-09-21,757691,82603,757691,Sep
343,DUBAI NE THO SURPRISE DEDIYA !!!,2021-09-20,904898,100972,904898,Sep
344,I BOOKED THE  EMIRATES FIRST CLASS FOR MY WIFE !!,2021-09-19,1469901,138058,1469901,Sep
345,WE WERE NOT ALLOWED TO BOARD THE FLIGHT,2021-09-18,716001,82470,716001,Sep
346,CUSTOMIZED MY PLAYSTATION 5,2021-09-17,598890,68789,598890,Sep
347,FIT TO FLY CERTIFICATE MILAGAYA,2021-09-16,503427,58809,503427,Sep
348,PREGNANCY IS EXPENSIVE BUT LOVE !!!,2021-09-15,532115,58855,532115,Sep
349,IT GOT CAUGHT ON CAMERA BY MISTAKE !!!,2021-09-14,550949,60512,550949,Sep
350,"BOOKING THE BMW X7, well..",2021-09-13,712519,74053,712519,Sep
351,GAVE MY BMW A COMPLETE NEW LOOK...❤️,2021-09-12,625337,70961,625337,Sep
352,GANPATI JI AYE KUSHIYA LAYE !!!,2021-09-11,505052,58779,505052,Sep
353,"NEXT TRIP KI SHOPPING & PACKING STARTED , HYPE UNLIMITED !!",2021-09-10,511184,57602,511184,Sep
354,MERI PERSONAL VANITY VAN ....,2021-09-09,505353,55015,505353,Sep
355,I STOLE HER MONEY HEIST MYSTERY BOX !!,2021-09-08,525909,60598,525909,Sep
356,SABNE BOLA KARDO THO KARDIYA !!!,2021-09-07,725401,68865,725401,Sep
357,KAMAAL KA MUSIC VIDEO ON ITS WAY ..,2021-09-05,580321,63074,580321,Sep
358,FLYING OFFICIALLY STARTS FOR US !!!,2021-09-04,667935,71381,667935,Sep
359,GONE TOO SOON ...,2021-09-03,624797,73323,624797,Sep
360,THIS COULD HAVE BEEN A SERIOUS ISSUE.,2021-09-02,623889,62166,623889,Sep
361,WE TOOK OUR FRIENDS OUT FOR A SURPRISE PARTY !!,2021-09-01,667449,81243,667449,Sep
362,I FINALLY GOT MYSELF A PLAYSTATION 5 !!! AND A SPECIAL NEWS 👀,2021-08-31,671754,72147,671754,Aug
363,KAISE PATA LAGAEY KI BOY OR GIRL WALEY FUNDEY !!,2021-08-30,547980,61294,547980,Aug
364,"THE MOMENT I UNBOXED MY WALKIE-TAKIE, THIS HAPPENED",2021-08-29,611363,65755,611363,Aug
365,DOLLAR AGAYE HATH MAI BOHAT SARE ABB !!,2021-08-28,683513,66744,683513,Aug
366,I WAS BLOCKING HER TV AND SHE DIDNT LIKE IT. 🤣,2021-08-27,619252,68551,619252,Aug
367,I REALLY MADE HER ANGRY THIS TIME !!!!,2021-08-26,719528,73160,719528,Aug
368,LATE NIGHT LAPTOP SHOPPING KARNEY KAUN JATA HAI ? HUM,2021-08-25,691271,70406,691271,Aug
369,HOW TO UPSET A PREGNANT LADY IN 1 MINUTE 😅,2021-08-24,580181,64273,580181,Aug
370,SPECIAL RAKSHABANDHAN VLOG 2021,2021-08-23,821783,89113,821783,Aug
371,SOME PEOPLE WILL NEVER STOP HATING !!,2021-08-22,542740,70035,542740,Aug
372,MAST MASTI MAI SCENE HOGAYA !!,2021-08-21,633521,67943,633521,Aug
373,ALMOST DROPPED MY CAMERA DOING THIS ADVENTURE !!!,2021-08-20,658183,68640,658183,Aug
374,WE LEFT ONE DAY EARLY !!,2021-08-19,619008,70572,619008,Aug
375,BABY KE LIYE NAAM SOCH BHI LIYA 🤰,2021-08-18,591949,65503,591949,Aug
376,THIS NEWS IS SO HEARTBREAKING !! 💔,2021-08-17,670218,72640,670218,Aug
377,MOOD SWINGS OF 2ND TRIMESTER | ITS EAST ...,2021-08-16,669981,63468,669981,Aug
378,MY MOMS BIRTHDAY GOT SO VERY SPECIAL !!,2021-08-15,736535,75588,736535,Aug
379,A GIFT THAT EVERY MOTHER WANTS 🤔,2021-08-14,651844,67407,651844,Aug
380,ONE OF THE WORST THING WHICH CAN HAPPEN INSIDE THE CAR !!,2021-08-13,583121,67698,583121,Aug
381,A VERY SPECIAL MOMENT | WE SAW OUR BABY,2021-08-12,606668,70536,606668,Aug
382,GENERATION GAP BETWEEN ME AND MY WIFE !!,2021-08-11,735369,70349,735369,Aug
383,YOUTUBERS HONE KE FAYDEY!!,2021-08-10,630524,72104,630524,Aug
384,WHERE PLAN FAILS JUGAAD WORKS !!!,2021-08-09,737010,77992,737010,Aug
385,MUMBAI KI STREET SHOPPING AFTER YEARS !!!,2021-08-08,727142,74152,727142,Aug
386,KAMAAL KI TECHNOLOGY !!!,2021-08-07,659161,67764,659161,Aug
387,DROVE THIS CAR FOR THE FIRST TIME AND LOVED IT !!,2021-08-06,1151974,106496,1151974,Aug
388,THIS IS WHY WOMEN LIVE LONGER THAN MEN !!!,2021-08-05,676694,72857,676694,Aug
389,LATE NIGHT HOSPITAL JANA PADA !!!,2021-08-04,807586,89754,807586,Aug
390,MOM NE DIYA GOOD NEWS KA GIFT !!!,2021-08-03,1213059,122806,1213059,Aug
391,WE ARE PREGNANT ... 👶🏻,2021-08-02,2267101,231072,2267101,Aug
392,HER BIRTHDAY GIFT IS HERE BUT THE REAL SURPRISE IS ..,2021-08-01,907372,83543,907372,Aug
393,SHADI KE BAAD PEHELA BIRTHDAY AUR YEH HOAGAYA !!,2021-07-31,968210,90960,968210,Jul
394,PARKING KA 300RS AN HOUR DENA PADA !!,2021-07-30,596390,65407,596390,Jul
395,IN EXCHANGE OF MY Q7 🤔!!,2021-07-29,775853,76400,775853,Jul
396,FAME KA SIDE EFFECT!!,2021-07-28,596573,66522,596573,Jul
397,ATM MACHINE MAI CARD PHASA AUR PAISE BHI NAHI NIKLEY !!,2021-07-27,634105,64708,634105,Jul
398,HAMARI AJJ KI CHOTI SI SAWARI !!,2021-07-26,640447,77415,640447,Jul
399,PASAND HAI PAR BUDGET KE UPAR | KYA KARU ? 🤔,2021-07-25,785815,76767,785815,Jul
400,WE WENT TO SEE ANOTHER HOUSE !!,2021-07-24,728551,73127,728551,Jul
401,I COLOURED MY HAIR AGAIN AND THIS TIME ...,2021-07-23,729931,74749,729931,Jul
402,YEH PETROL KA PRICE JAAN LELEGA !!,2021-07-22,645953,69868,645953,Jul
403,MAA THO MAA HOTI HAI..BUS WOHI CASE LE SAKTI HAI !!,2021-07-21,653875,68388,653875,Jul
404,THIS WAS MUCH NEEDED !!! 💦,2021-07-20,684191,76657,684191,Jul
405,ITS NOT THE END ITS THE NEW BEGINNING ...,2021-07-19,648147,66259,648147,Jul
406,EMOTIONAL MOMENT I SOLD MY BIKE,2021-07-18,829140,84453,829140,Jul
407,LIFE KE AYSE MOD PE DECISION THO LENA PADEGA !!,2021-07-17,627807,66618,627807,Jul
408,HAD TO RUSH OUT OF GOA FOR THIS !!!,2021-07-16,751624,70806,751624,Jul
409,AGAR YEHA TIRE PUNCTURE HOJATA THO PROBLEM HOJATI !!😨,2021-07-15,733892,73170,733892,Jul
410,AUDI MAI AUR EK NUKSAAN HOGAYA GOA MAI !!,2021-07-14,776066,75564,776066,Jul
411,MERI THO HOGAI ABB ISKE LIYE TRIP !!!,2021-07-13,805175,80702,805175,Jul
412,BIKE THO AGAYI LEKIN EK PROBLEM HOGAI ..,2021-07-12,719432,77222,719432,Jul
413,DIL PE PATTHAR RAK KAR PLANNING TO SELL THE TIGER !!,2021-07-11,701981,72240,701981,Jul
414,ARE WE READY FOR THAT BIG DAY ?,2021-07-10,744854,74087,744854,Jul
415,YEH SERIOUS HO JATA !! BACH GAYA,2021-07-09,730389,74893,730389,Jul
416,COULDN'T WAIT TO MEET HER !!,2021-07-08,1012433,108531,1012433,Jul
417,AUR EK KAMAAL KA IDEA !!,2021-07-07,794300,85306,794300,Jul
418,AN IMPOSSIBLE RIDE | LEH TO CHANDIGARH IN 17 HOURS,2021-07-06,1459724,181315,1459724,Jul
419,I TRIED SELLING THE BMW and it worked.,2021-07-05,918905,102529,918905,Jul
420,HIGHEST AND EASIEST ROAD IN THE WORLD | EVEN AT -2,2021-07-04,1339397,113433,1339397,Jul
421,NEVER MAKE THIS MISTAKE EVER AGAIN !!,2021-07-03,873339,106627,873339,Jul
422,SOMETHING UNBELIEVABLE HAPPENED !!,2021-07-02,867163,99718,867163,Jul
423,MANALI TO LEH | EASY BUT COMPLICATED !!!,2021-07-01,2054635,176911,2054635,Jul
424,BIG PROBLEM !! BIKE BREAK DOWN HOGAI 😞,2021-06-30,897154,98613,897154,Jun
425,TRUCK NE TIGER KA WINDSHIELD THOD DIYA !!,2021-06-29,883971,96999,883971,Jun
426,MANALI ATEY ATEY BAND BAJJ GAYI !!,2021-06-28,943216,101134,943216,Jun
427,YEH BHI KARNA ZAROORI HAI !!!,2021-06-27,825011,92051,825011,Jun
428,KARNE KA THO STYLE MAI KARNEKA WARNA NAHI KARNEKA !!,2021-06-26,1263522,138256,1263522,Jun
429,LEAVING ALONE FOR THE TRIP | HARD TO SAY GOOD BYE !,2021-06-25,1028989,120213,1028989,Jun
430,FEELING EMOTIONALLY WEAK !!,2021-06-24,692594,76696,692594,Jun
431,LAST MOMENT PE TRADEGY MAI COMEDY HO GAI ...,2021-06-23,623243,70074,623243,Jun
432,Ride ke liye ready …,2021-06-22,758285,75342,758285,Jun
433,YEH HOTA HAI LAPARWAHI KA NATIJA !!!,2021-06-21,635352,65447,635352,Jun
434,YEH THO KAMAAL KA JOKE MAAR DIYA !!,2021-06-20,685027,73591,685027,Jun
435,WE HAD TO MAKE A SUDDEN CHANGE IN PLAN..,2021-06-19,646547,72686,646547,Jun
436,ISKI HI ZAROORAT THI !!,2021-06-18,692832,74737,692832,Jun
437,AAJ THO BAAL BAAL BACH GAYA !!,2021-06-17,725641,73843,725641,Jun
438,THIS WAS SO EMBARRASSING !!,2021-06-16,651452,70586,651452,Jun
439,FINALLY A GOOD NEWS !!,2021-06-15,675439,73214,675439,Jun
440,YEH DHEK KE PURA MOODE KARAB HOGAYA !!,2021-06-14,844734,90307,844734,Jun
441,MUMBAI MAI GHUMNE KE LIYE BEST GAADI ...,2021-06-13,739204,82489,739204,Jun
442,SOMETHING SPOOKY HAPPENED IN OUR KITCHEN,2021-06-12,649998,66176,649998,Jun
443,THE BEAST IS ALREADY HERE !!,2021-06-11,822233,87855,822233,Jun
444,MAHINO KI MEHENAT BARBAAD !!!,2021-06-10,636851,68724,636851,Jun
445,VACCINE KE LIYE KARNA PADEGA !!!,2021-06-09,627443,66747,627443,Jun
446,FINALLY A LONG DRIVE !!!,2021-06-08,793485,77895,793485,Jun
447,WHEN YOUR MOM IS MORE EDUCATED THEN YOU..,2021-06-07,601235,70706,601235,Jun
448,I FINALLY MODIFIED MY AUDI Q7 TO THIS..,2021-06-06,932062,106942,932062,Jun
449,TAKING THE TIGER OUT … 🐯,2021-06-05,664622,72400,664622,Jun
450,SABSE IMPORTANT HOTI HAI FAMILY !!,2021-06-04,682650,71249,682650,Jun
451,I PRANKED HER …😅,2021-06-03,758753,80439,758753,Jun
452,UNBOXING MY FIRST TELESCOPE ..💥🌔,2021-06-02,776361,78167,776361,Jun
453,SOMETHING I THOUGHT I WONT SHARE IT  !!,2021-06-01,1000561,85674,1000561,Jun
454,AAJ THO BACH GAYA !! Planning cancel shayad!!,2021-05-31,764315,77069,764315,May
455,JO HOTA HAI ACCHEY KE LIYE HOTA HAI !!,2021-05-30,621600,66893,621600,May
456,CHANGES CAN ALREADY BE SEEN  !!,2021-05-29,665546,69337,665546,May
457,HER FIRST ELECTRIC CYCLE !!!,2021-05-28,769695,82001,769695,May
458,THE IDEA WORKED | SHE DIDNT CRY !!,2021-05-27,773458,82479,773458,May
459,HUM BANE DORAEMON AND SHIN CHAN !!!,2021-05-26,729108,75755,729108,May
460,DECIDED TO SURPRISE THEM AND IT WORKED !!!,2021-05-25,796225,87630,796225,May
461,NEVER SAY THIS IN FRONT OF YOUR WIFE 😅,2021-05-24,777498,80666,777498,May
462,ISS BAAT PE PARTY THO BANTI HAI !!,2021-05-23,851454,85276,851454,May
463,WE MADE A MISTAKE AND I CAN EXPLAIN !!,2021-05-22,697111,77494,697111,May
464,THINGS ARE CHANGING !! 70,2021-05-21,825410,84214,825410,May
465,BROKE MY COMPUTER OUT OF FRUSTRATION !!,2021-05-20,745006,82353,745006,May
466,PAISE NAHI THEY PHIR BHI ZIDD MAI LELIYA !!,2021-05-19,761577,78901,761577,May
467,TOOFAN KI WAJAH SE GHAR MAI PAANI AGAYA,2021-05-18,1032594,95578,1032594,May
468,AUR BOLO “girl child chaiye “ 👧,2021-05-17,792421,83447,792421,May
469,AN UNEXPECTED GUEST WAS WAITING FOR ME !! 🎥,2021-05-16,742860,78055,742860,May
470,I WENT TO DROP HER HOME..,2021-05-15,735608,79694,735608,May
471,EID MUBARAK KA NAYA TAREEKA .,2021-05-14,813355,88652,813355,May
472,KUCH NA KUCH GADBAD THO HONA HI HAI !!,2021-05-13,716768,74548,716768,May
473,EPIC FAIL !! DON'T DO THIS AT HOME !!,2021-05-12,709869,85480,709869,May
474,I ASKED MY MOM FOR ANY ONE WISH AND THIS WAS HER ANSWER,2021-05-11,740959,83048,740959,May
475,BUS ABB AYSEHI NEKALNA PADEGA !!! 🧑🏻‍💼👔,2021-05-10,805995,87844,805995,May
476,WHO IS THE REAL LOSER HERE 😎,2021-05-09,600051,74078,600051,May
477,FINALLY 😎AFTER 3 YEARS OF TRYING ❤️✅,2021-05-08,689302,83045,689302,May
478,COPYRIGHT CLAIM ON OUR MARRIAGE MOVIE,2021-05-07,853826,96793,853826,May
479,FINDING THE RIGHT GIFT FOR THE PERFECT DAY...,2021-05-06,705354,74822,705354,May
480,WENT TO THE HOSPITAL TO GET MY REPORT !!,2021-05-05,699234,79781,699234,May
481,KYA AUDI Q7 BECH DI ?,2021-05-04,951287,103144,951287,May
482,I ORDERED A GIFT FOR SHANICE AND SHE LOVED IT..,2021-05-03,923120,95766,923120,May
483,YEH HAMESHA MUJHE DHEK KAR KYU ROTI HAI.. 😨,2021-05-02,869124,91511,869124,May
484,ITNA ACCHA THO LADKI LADKE KA NAHI KAAT TI !!,2021-05-01,798240,85176,798240,May
485,MY WIFE MADE ME ASK A TRICKY QUESTION TO HER SISTER .,2021-04-30,960928,99962,960928,Apr
486,SOCHA THA ISS BAAR KAAM HOJAYEGA BUT..,2021-04-29,823718,89136,823718,Apr
487,YEH THO PAKKA MEME BANEGA DHEKNA TU !!,2021-04-28,1169273,115822,1169273,Apr
488,KARMA WILL ALWAYS FIND ITS WAY !!,2021-04-27,815983,90880,815983,Apr
489,I TRIED BEING SMART IN FRONT OF MY MOTHER AND THE REST IS HISTORY.,2021-04-26,936752,97967,936752,Apr
490,ISS NEGATIVE TIME MEIN THODI POSITIVITY ❤️,2021-04-25,770425,84335,770425,Apr
491,WE HAD A FIGHT AND I LOST !!,2021-04-24,986625,123690,986625,Apr
492,TIME FOR THE 2nd HALF OF THE HOUSE 🏠,2021-04-23,942988,101246,942988,Apr
493,YOUTUBE IS MAKING US A BETTER COUPLE AND COOK,2021-04-22,873066,90021,873066,Apr
494,FLIGHT GOT CANCELLED AT THE LAST MOMENT..BUT,2021-04-21,891764,92961,891764,Apr
495,I HAVE LOST ALOT OF MONEY | PART OF LIFE...,2021-04-20,971687,106250,971687,Apr
496,LAST MOMENT PE FLIGHT BOOK KI AUR CHALEY GAYE ✈️,2021-04-19,1046647,115501,1046647,Apr
497,LETTER FROM A VERY SPECIAL PERSON MADE MY DAY !!!,2021-04-18,885492,94723,885492,Apr
498,MY MOM IS SUPER OBSESSED WITH THIS CHAIR ..,2021-04-17,936392,107067,936392,Apr
499,BINA PLANNING KE BHI KAAM HOJATA HAI !!,2021-04-16,969645,100344,969645,Apr
500,PEHELE HI DIN YEH HAAL HO GAYA !!,2021-04-15,1501615,134904,1501615,Apr
501,WELCOME TO OUR DREAM HOUSE ❤️,2021-04-14,4151707,293708,4151707,Apr
502,AB INTEZAAR KHATAM HOUSE IS READY !!,2021-04-13,932713,97956,932713,Apr
503,TIMES LIKE THESE I DON'T FEEL LIKE VLOGGING !!!,2021-04-12,735326,82716,735326,Apr
504,TRY KARNEY MAI KYA PROBLEM HAI THEY SAID AND..,2021-04-11,754769,80743,754769,Apr
505,I WENT TO A VERY INTERESTING PLACE !!,2021-04-10,797352,81622,797352,Apr
506,SABNE BOLA CHALO THO NEKAL GAYE !!,2021-04-09,869555,93637,869555,Apr
507,AFTER DRIVING THIS BMW I HAD TO TUNE MY AUDI.. 💨,2021-04-08,962252,95229,962252,Apr
508,SON MAKES MOM PROUD...but in a different way.,2021-04-07,825050,94542,825050,Apr
509,"LOST MY HOUSE KEY , STARTED A SMALL OFFICE AND LOCKDOWN 2021",2021-04-06,866782,88659,866782,Apr
510,TRUTH ABOUT ME NOT SPEAKING MARATHI !!!,2021-04-05,864332,106081,864332,Apr
511,THIS IS SUCH A DIFFERENT EXPERIENCE !!,2021-04-04,851484,96922,851484,Apr
512,SHIFTING TO MY NEW HOUSE HAS STARTED !!,2021-04-03,903306,91112,903306,Apr
513,LAGTA HAI TIME KHARAB CHAL RAHA HAI,2021-04-02,839804,88582,839804,Apr
514,I WON 2 AWARDS BUT THE REAL SURPRISE WAS SOMETHING ELSE,2021-04-01,838577,92320,838577,Apr
515,FINAL SHOPPING FOR THE HOUSE !!,2021-03-31,830177,87355,830177,Mar
516,I SURVIVED THE LAST 2 MONTHS !!,2021-03-30,750801,80481,750801,Mar
517,ABB BACHPAN WALI HOLI NAHI KHELTEY HUM !!!,2021-03-29,810340,83364,810340,Mar
518,SHE WAS SCARED BUT I CONVINCED HER ..,2021-03-28,763838,87023,763838,Mar
519,A VERY IMPORTANT PART WENT MISSING ...,2021-03-27,761952,82145,761952,Mar
520,MY JUGAADU MIND SAVES THE DAY ....,2021-03-26,784128,82561,784128,Mar
521,FINALLY IT ARRIVES BUT THERE WAS A PROBLEM...,2021-03-25,1084535,110328,1084535,Mar
522,OVERCONFIDENCE KE WAJAH SE VENUE THOK DI !!!,2021-03-24,820317,83712,820317,Mar
523,BOYS NEED TO LEARN SOMETHING FROM THIS !!,2021-03-23,777914,92376,777914,Mar
524,A VERY SPECIAL UNBOXING AND WHY INDIAN MOMS ARE THE SMARTEST !!!,2021-03-22,876488,93519,876488,Mar
525,EK LAKH KA PHATKA WOH BHI AYSE  💵 !!!!,2021-03-21,1007541,94840,1007541,Mar
526,HOUSE IS READY BUT WE HAVE TO WAIT !!!,2021-03-19,887617,91652,887617,Mar
527,KYA SACH MAI SHAADI KE BAAD SAB KUCH BADAL JATA HAI ?,2021-03-18,826204,86967,826204,Mar
528,THERE WAS A LOUD BANG AND WE GOT SCARED !!!,2021-03-17,861768,93664,861768,Mar
529,AUDI'S KEYS IS LOST | HOUSE IS READY BUT...,2021-03-15,972177,100679,972177,Mar
530,TEACHING HER HOW TO LIFT ME BUT SHE HAS A BETTER IDEA ...,2021-03-14,899456,97045,899456,Mar
531,GHAR JANE KI EXCITEMENT MAI RECORD HI THOD DIYA !!!,2021-03-13,967029,99487,967029,Mar
532,WE FACED TOO MANY CHALLENGES BUT WE DID IT ....,2021-03-12,931028,94081,931028,Mar
533,MY FUTURE COULD BE THIS !!!!,2021-03-11,1004561,100159,1004561,Mar
534,THEY THOUGHT I AM SOME MOVIE ACTOR !!!,2021-03-10,1058262,123372,1058262,Mar
535,WE GOT STUCK IN HEAVY SNOW FALL....,2021-03-09,1245336,113140,1245336,Mar
536,WE WENT TO A SECRET PLACE IN KASHMIR BUT..,2021-03-09,819173,114621,819173,Mar
537,GETTING AN UNBELIEVABLE EXPERIENCE IN KASHMIR,2021-03-08,970174,94722,970174,Mar
538,LIFE MAI AUR KYA CHAHIYE...,2021-03-07,1157509,112544,1157509,Mar
539,KASH KISI NE HUMKO YEH BATAYA HOTA KI..,2021-03-06,1062104,118495,1062104,Mar
540,Nikhil & Shanice  Christian Wedding Movie trailer,2021-03-06,1059813,136660,1059813,Mar
541,NOT EASY TO GET OUT OF DELHI TO GO TO JAMMU ..,2021-03-05,1205820,117785,1205820,Mar
542,BAAT ABB IZZAT PE AGAI HAI !!!,2021-03-04,996816,98136,996816,Mar
543,2021 KI CONTROVERSY,2021-03-03,1029074,98026,1029074,Mar
544,THE MOST WONDERFUL ROAD IN INDIA,2021-03-02,1189108,111179,1189108,Mar
545,NIKLI SAWARI HAMARE HONEYMOON TRIP KO,2021-03-01,1736834,147283,1736834,Mar
546,MUJHE LAGA AAJ THO MAI GAYA !!!,2021-02-28,1010240,106426,1010240,Feb
547,HER FIRST STAY TO  MAYKA AFTER MARRIAGE !!,2021-02-27,818023,91659,818023,Feb
548,LESS DRAMA MORE HAPPINESS IN LIFE ...,2021-02-26,835917,83569,835917,Feb
549,STAYING WITH MY MOM NOW | GHEE UPDATE,2021-02-25,985841,106322,985841,Feb
550,WE SCREWED UP OUR  PLANS !!!,2021-02-24,891242,88567,891242,Feb
551,I WAS FINED AND MADE IT MY THUMBNAIL !!,2021-02-23,1002508,98743,1002508,Feb
552,MAMU AND BANJHI KI JUGALBANDI SHURU..,2021-02-22,1061222,106251,1061222,Feb
